Ticker,MarketCap,AssetType
IPAR,4286626560,Equity
RXO,2545615360,Equity
NRG,30689204224,Equity
CHRW,11466445824,Equity
EW,45194596352,Equity
OMC,14542632960,Equity
BLK,151361159168,Equity
BEN,11616641024,Equity
NTCT,1670874880,Equity
VZ,182458236928,Equity
JCI,66173202432,Equity
WKC,1573955840,Equity
A,31632177152,Equity
FSS,5762770944,Equity
PEB,1094275712,Equity
FOX,23983855616,Equity
CE,5945176576,Equity
LDOS,19524741120,Equity
SIG,2767147520,Equity
GWW,52305563648,Equity
XLB,6238301696,ETF
VIRT,6356041728,Equity
CTS,1215838720,Equity
CNMD,1761872640,Equity
ARM,142525874176,Equity
MNST,62449881088,Equity
OI,2040268800,Equity
BR,28147658752,Equity
CRL,6734253568,Equity
EXC,44071464960,Equity
MGY,4236308736,Equity
PCG,37503414272,Equity
MGEE,3272468480,Equity
IPG,9038172160,Equity
EMR,67663122432,Equity
TMO,152443404288,Equity
APLE,2790660608,Equity
TNC,1381291776,Equity
LMT,111321063424,Equity
FBNC,1725979648,Equity
HAS,9372514304,Equity
VSCO,1688994048,Equity
PWR,50288365568,Equity
EYE,1492533760,Equity
ALRM,2841511680,Equity
CRC,3824269824,Equity
CPRT,50942083072,Equity
CALM,4593361408,Equity
BANC,2179313920,Equity
EXPE,21024542720,Equity
FAST,47713710080,Equity
TRGP,34921713664,Equity
AVGO,1103735816192,Equity
SOLV,12521381888,Equity
UBER,186981974016,Equity
PPG,25364457472,Equity
DELL,77738786816,Equity
PYPL,69283250176,Equity
KFY,3521734144,Equity
AIN,2021226880,Equity
DXPE,1329150336,Equity
MU,107191730176,Equity
TRUP,2018748928,Equity
EPAM,10021862400,Equity
DAN,2479020544,Equity
KLIC,1710253056,Equity
WT,1407086720,Equity
ALLE,12361842688,Equity
DASH,88100618240,Equity
TMDX,4334448128,Equity
DVN,19937204224,Equity
HWKN,2766400000,Equity
TEAM,55446515712,Equity
WAFD,2293329152,Equity
MHK,6407531520,Equity
HTH,1909900288,Equity
PGNY,1770505344,Equity
DOCN,2578141696,Equity
PSX,46208000000,Equity
APP,127849381888,Equity
HLT,59969331200,Equity
AROC,4472737280,Equity
MS,205360988160,Equity
SHOP,138101276672,Equity
SONO,1252507392,Equity
TNDM,1439714560,Equity
DIS,200772714496,Equity
DAY,9253112832,Equity
PODD,22835247104,Equity
ZBH,18424594432,Equity
DTE,28227362816,Equity
MRVL,56295862272,Equity
DLTR,18852376576,Equity
AMTM,5073458176,Equity
TJX,142190592000,Equity
EXR,32698562560,Equity
BFS,1130020864,Equity
ATGE,4693992960,Equity
WMB,73907740672,Equity
EFX,32069423104,Equity
TPR,16688930816,Equity
GBX,1423509248,Equity
QRVO,7116892672,Equity
SKT,3323920384,Equity
WOR,2953101568,Equity
FDS,17582409728,Equity
MET,52764020736,Equity
ITGR,4183201792,Equity
RAMP,2101185024,Equity
FORM,2434849792,Equity
CSR,1093938432,Equity
OII,1933938944,Equity
DFIN,1524832512,Equity
EVRG,15121581056,Equity
HES,40863981568,Equity
SBUX,98321326080,Equity
MTB,29432213504,Equity
VECO,1146607616,Equity
CSGP,31531833344,Equity
PNW,10870084608,Equity
FBK,2016454912,Equity
CCOI,2365723648,Equity
STEL,1403159424,Equity
GOGO,1427128576,Equity
GRMN,39201345536,Equity
SPXC,7118288896,Equity
LYB,18562457600,Equity
ASML,293991710720,Equity
SMPL,3486130944,Equity
CRK,7027103232,Equity
NCLH,7915186176,Equity
BDX,50060210176,Equity
FCPT,2716762880,Equity
MRP,4621551616,Equity
TT,96563445760,Equity
SWK,10363450368,Equity
XLF,44803911680,ETF
AWK,27740456960,Equity
HON,145350361088,Equity
SLG,4314596864,Equity
ABM,3248167936,Equity
PG,394234363904,Equity
SHOO,1876339200,Equity
TR,2430578688,Equity
XHR,1259932416,Equity
CRI,1199644288,Equity
DDOG,40509906944,Equity
IBP,4371103744,Equity
RL,17182027776,Equity
CBRL,1325123584,Equity
LKQ,10501460992,Equity
FITB,25364695040,Equity
NWS,16920054784,Equity
CNP,24372862976,Equity
TXT,13470917632,Equity
SW,22900709376,Equity
EFC,1212130560,Equity
LEN,27792928768,Equity
ACGL,35294425088,Equity
VST,55441756160,Equity
GDYN,1084155136,Equity
APH,106632290304,Equity
AGYS,2943077120,Equity
DGX,19237500928,Equity
BOH,2672363776,Equity
EXE,27788808192,Equity
EA,36873887744,Equity
CMI,44789665792,Equity
MMC,113729011712,Equity
ZBRA,15002018816,Equity
VMC,35328573440,Equity
ABR,1874520832,Equity
AXP,204978323456,Equity
BLFS,1052529344,Equity
PFE,133378768896,Equity
MMI,1125458048,Equity
GM,46624788480,Equity
PCRX,1188988928,Equity
AL,6481541632,Equity
FCF,1640196608,Equity
USB,67805462528,Equity
VTR,29113233408,Equity
JNJ,367623405568,Equity
SAFE,1065449536,Equity
KAI,3734078976,Equity
ARI,1373461504,Equity
PLMR,4318849024,Equity
ZS,39206539264,Equity
PPL,25500911616,Equity
META,1618348605440,Equity
HUM,27888531456,Equity
UHS,12325515264,Equity
AWR,3031990272,Equity
MLKN,1134755584,Equity
SYK,145895309312,Equity
THS,1152409984,Equity
CCI,43396100096,Equity
PEG,39388405760,Equity
AIZ,10115615744,Equity
BHLB,1166599296,Equity
CRGY,2763966720,Equity
HUBG,2084759424,Equity
LRN,6642308608,Equity
ATEN,1245554560,Equity
CL,75048943616,Equity
MD,1147270528,Equity
ALGN,12939260928,Equity
WBA,9711006720,Equity
AIG,47921840128,Equity
CERT,1851089920,Equity
CWK,2308244224,Equity
CWEN,6087705600,Equity
HST,10796284928,Equity
AEIS,4399656960,Equity
ANDE,1188709760,Equity
PRK,2646144000,Equity
KTB,3885686272,Equity
VRRM,3815932928,Equity
FBP,3291955712,Equity
BTU,1716526080,Equity
CME,103188807680,Equity
RJF,29766932480,Equity
DIOD,2127272192,Equity
ISRG,197868224512,Equity
MSCI,43709095936,Equity
TRMK,2109761024,Equity
YELP,2457294080,Equity
LVS,28855152640,Equity
CXW,2427673856,Equity
WYNN,9575055360,Equity
CATY,3049101312,Equity
VLO,40112295936,Equity
IRM,28687128576,Equity
DGII,1210968960,Equity
WERN,1634572800,Equity
GVA,3972704512,Equity
D,48105938944,Equity
ETSY,5266241024,Equity
EIX,21577566208,Equity
NPO,3788052992,Equity
WSFS,3025646336,Equity
WWW,1398414208,Equity
ADSK,64322560000,Equity
AMP,49044930560,Equity
FMC,5080673280,Equity
CXM,2148879616,Equity
DRH,1587999232,Equity
SCHW,160293093376,Equity
LCII,2253600256,Equity
EQT,33654753280,Equity
EPRT,6365840896,Equity
BIIB,18864746496,Equity
DY,6567809536,Equity
FTDR,4015577088,Equity
ACIW,4896732160,Equity
EPAC,2342417152,Equity
WRB,28000266240,Equity
PBH,4190860544,Equity
WFC,239898165248,Equity
MSEX,1035249984,Equity
SXI,1830230784,Equity
KIM,14162443264,Equity
OSIS,3766354432,Equity
SBCF,2140176512,Equity
SHAK,5396057600,Equity
J,15375161344,Equity
JBLU,1890403968,Equity
DVA,10416778240,Equity
HNI,2172148992,Equity
AESI,2086693760,Equity
AORT,1244786560,Equity
LNC,5675198464,Equity
MP,3133451520,Equity
LYV,32957978624,Equity
AZN,217476841472,Equity
BKNG,178563268608,Equity
BHE,1310811648,Equity
COOP,8442233856,Equity
LIN,218886651904,Equity
ITRI,5221661184,Equity
ADBE,175833071616,Equity
IEX,13737786368,Equity
KO,308142669824,Equity
EQIX,85561303040,Equity
PECO,4802271744,Equity
AES,6902093312,Equity
CSWI,5130550272,Equity
KVUE,45252280320,Equity
NOW,212175175680,Equity
COO,15933572096,Equity
BKR,36667658240,Equity
SITM,4637809664,Equity
GNRC,7413854720,Equity
APAM,2898099712,Equity
NAVI,1365019264,Equity
LGND,1923631744,Equity
FHB,2977026048,Equity
LKFN,1540569856,Equity
C,140490653696,Equity
TPH,2706955776,Equity
TAP,10875456512,Equity
TGT,43716726784,Equity
CINF,23228338176,Equity
TDY,23250647040,Equity
MELI,130095112192,Equity
IR,33174745088,Equity
L,18551894016,Equity
AVAV,8163098112,Equity
SNEX,4218567424,Equity
MHO,2873098240,Equity
NABL,1492628736,Equity
MCO,86319857664,Equity
XLV,26101145600,ETF
UVV,1477745792,Equity
DXC,2758868480,Equity
ANET,116273078272,Equity
INDB,2634675712,Equity
NGVT,1592057472,Equity
UNH,272767926272,Equity
FRPT,3897641728,Equity
SNPS,78236172288,Equity
NOG,2710414336,Equity
FOXA,24006117376,Equity
STT,27634137088,Equity
JOE,2548972288,Equity
BANF,4120444928,Equity
ENVA,2373698304,Equity
CRWD,116471980032,Equity
IIPR,1570868096,Equity
PDD,141432635392,Equity
ALEX,1277541120,Equity
YUM,40140926976,Equity
JJSF,2207420928,Equity
IT,34005514240,Equity
O,50491203584,Equity
KAR,2442985984,Equity
SM,2723051008,Equity
UE,2431152128,Equity
ECL,74682998784,Equity
WMT,778966663168,Equity
HASI,3079870720,Equity
SHO,1804645504,Equity
GNL,1732101888,Equity
RSG,79525797888,Equity
UDR,15155239936,Equity
TRN,2106431488,Equity
CNK,3813797888,Equity
GOOG,2103629447168,Equity
ROCK,1755858432,Equity
MO,100351115264,Equity
NDAQ,47597584384,Equity
ENPH,5152499200,Equity
CNXN,1689929728,Equity
AAPL,2994104958976,Equity
GIII,1234935680,Equity
NSC,55109783552,Equity
KHC,31624187904,Equity
CARG,3133733632,Equity
ES,23516313600,Equity
URI,46491836416,Equity
UFPT,1741741312,Equity
NTRS,20660041728,Equity
NKE,91599945728,Equity
XLP,17282443264,ETF
CLSK,2608789760,Equity
SO,98037923840,Equity
ADP,132224344064,Equity
KWR,1967154688,Equity
MLM,33817698304,Equity
MRK,194466725888,Equity
LH,20649207808,Equity
AMR,1524555392,Equity
CEG,96746586112,Equity
WDFC,3278731776,Equity
RNST,3364318208,Equity
AZO,63225917440,Equity
MCRI,1534557824,Equity
STRA,2166472704,Equity
PSA,52788944896,Equity
MATX,3625041664,Equity
ROST,46049943552,Equity
SPSC,5480138752,Equity
REZI,3065122560,Equity
STLD,19045163008,Equity
ELME,1393789184,Equity
CBOE,24076658688,Equity
NXPI,49793175552,Equity
BGC,4518041088,Equity
DHR,136270733312,Equity
ICUI,3162383104,Equity
SLB,45838073856,Equity
JBL,17997463552,Equity
MSI,70284156928,Equity
SKY,3847801600,Equity
ATO,24650708992,Equity
KEY,17156939776,Equity
AUB,4259793152,Equity
DOV,24729790464,Equity
TWO,1154001408,Equity
QDEL,2117367040,Equity
MWA,3868692992,Equity
VSH,1939777792,Equity
MPWR,32653201408,Equity
NDSN,11213312000,Equity
COF,122426392576,Equity
ADMA,4748419072,Equity
ADM,23301824512,Equity
MSTR,99979067392,Equity
ABT,231224721408,Equity
PTC,20393560064,Equity
RF,19398819840,Equity
ECG,2967666688,Equity
NWBI,1569433344,Equity
IQV,23962228736,Equity
BRC,3317769984,Equity
TER,12959529984,Equity
EPC,1322475264,Equity
LOW,126166122496,Equity
AOS,9322349568,Equity
BALL,14811345920,Equity
VSAT,1160788736,Equity
PARR,1121325312,Equity
CF,14791513088,Equity
HAYW,3023706112,Equity
AGO,4162549760,Equity
BFH,2399399936,Equity
JXN,5945111552,Equity
VRE,1641278080,Equity
XLK,63068024832,ETF
DG,21825341440,Equity
F,40819286016,Equity
CPAY,23213475840,Equity
CRM,262679986176,Equity
CMG,67785682944,Equity
PLTR,294493159424,Equity
GEN,17496688640,Equity
DVAX,1171390208,Equity
XLU,13244787712,ETF
GLW,42463834112,Equity
DPZ,16675781632,Equity
AMPH,1189319424,Equity
HD,366630207488,Equity
FIS,42152443904,Equity
ARR,1323115648,Equity
PGR,162806136832,Equity
MA,521089253376,Equity
HI,1386885120,Equity
CHTR,56491970560,Equity
CB,116150796288,Equity
FL,2268321536,Equity
CLX,16195443712,Equity
HPQ,26298114048,Equity
LBRT,1902959488,Equity
MDLZ,86681722880,Equity
TTD,37474680832,Equity
LUMN,4052446976,Equity
AAP,3140101632,Equity
RDN,4590192640,Equity
MTCH,7550477824,Equity
IDCC,5524516864,Equity
WAB,34585419776,Equity
OKE,50870030336,Equity
DLR,58080043008,Equity
TRMB,17092373504,Equity
CHD,24317388800,Equity
FRT,8259400704,Equity
HBI,1798259456,Equity
GD,74318848000,Equity
LRCX,106972798976,Equity
AEE,26029463552,Equity
HTZ,2215161856,Equity
HOPE,1306171136,Equity
SNA,16896267264,Equity
NI,18378598400,Equity
MCD,225407008768,Equity
BA,151675846656,Equity
FIZZ,4118352640,Equity
EG,14425006080,Equity
SAH,2354176512,Equity
HII,8921205760,Equity
FULT,3153234176,Equity
CC,1549874176,Equity
RCL,68813299712,Equity
OGN,2366899200,Equity
ENR,1677722368,Equity
CTSH,39676903424,Equity
USPH,1142339840,Equity
PPBI,2076575360,Equity
ALKS,4948678656,Equity
BAX,15733945344,Equity
COIN,65064390656,Equity
GFF,3219863552,Equity
AHCO,1249618560,Equity
EMN,9448091648,Equity
CDNS,87557734400,Equity
ZWS,6141197824,Equity
PFG,17605720064,Equity
MC,4278295040,Equity
MTH,4623716864,Equity
LW,7549706240,Equity
ENOV,1878778752,Equity
WHD,2855166208,Equity
HBAN,22777225216,Equity
VRSK,44195651584,Equity
STBA,1410746752,Equity
NVEE,1462900480,Equity
SMCI,24570994688,Equity
NWN,1657538944,Equity
VIAV,2052664064,Equity
IDXX,41135804416,Equity
STX,24939741184,Equity
SWKS,10536052736,Equity
WTW,31023972352,Equity
DHI,36493103104,Equity
JBHT,13870877696,Equity
ITW,71936286720,Equity
DXCM,34070177792,Equity
NVR,20741064704,Equity
PRDO,2116167168,Equity
CORT,8237045760,Equity
MYRG,2474644736,Equity
EAT,7370453504,Equity
EXTR,2142673152,Equity
MARA,5354584576,Equity
CZR,5783589888,Equity
TFX,5401663488,Equity
TTWO,41553760256,Equity
KALU,1166670848,Equity
AXON,58513436672,Equity
HIG,36920606720,Equity
LII,20333856768,Equity
ACA,4220640000,Equity
MAS,13367394304,Equity
SPG,60296986624,Equity
GE,259943219200,Equity
